Segment ID,Segment Name,Filter Criteria Matched,Email,Full Name,Matric Number,Programme,Programme Code,School,School Code,Campus,Year of Study,Expected Graduation Year,Nationality,Gender,Enrolment Status,SGCC Booking Status,SGCC Attendance Status,Resume Submission Status,Internship Status,# Events Attended,# Jobs Applied,At-risk Flag,High Performer Flag
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","alex.tan@e.ntu.edu.sg",Alex Tan Wei Jie,U2112345A,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,M,Current,Resume Critique booked,Attended,Submitted,No internship,7,12,No,Yes
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","priya.sharma@e.ntu.edu.sg",Priya Sharma,U2112346B,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,India,F,Current,Bundle booked,Attended,Submitted,No internship,5,8,No,No
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","wei.ming.lee@e.ntu.edu.sg",Wei Ming Lee,U2112347C,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,M,Current,No booking,Pending,Not submitted,No internship,2,3,Yes,No
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","aisha.rahman@e.ntu.edu.sg",Aisha Binte Rahman,U2112348D,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,F,Current,Mock Interview completed,Attended,Submitted,No internship,9,15,No,Yes
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","jia.li.tan@e.ntu.edu.sg",Jia Li Tan,U2112349E,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Malaysia,F,Current,Resume Critique completed,Attended,Submitted,No internship,4,6,No,No
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","rajesh.kumar@e.ntu.edu.sg",Rajesh Kumar,U2112350F,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,India,M,Current,No booking,Pending,Late,No internship,1,1,Yes,No
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","sophia.lim@e.ntu.edu.sg",Sophia Lim Hui Min,U2112351G,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,F,Current,Mock Interview booked,Attended,Submitted,No internship,8,14,No,Yes
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","daniel.ong@e.ntu.edu.sg",Daniel Ong Jun Wei,U2112352H,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,M,LOA,No booking,Absent,Not submitted,No internship,0,0,Yes,No
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","mei.ling.chen@e.ntu.edu.sg",Mei Ling Chen,U2112353J,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,F,Current,Bundle completed,Attended,Submitted,No internship,11,18,No,Yes
B7K3M9X2P5F1QRTQ,"Final-year Finance students without internship","Year of Study = 4; Programme = FIN; Internship Status = no internship","kumar.suresh@e.ntu.edu.sg",Suresh Kumar,U2112354K,Finance,FIN,Nanyang Business School,NBS,NTU Main Campus,4,2025,Singapore,M,Current,Resume Critique booked,Pending,Submitted,No internship,3,4,No,No
